"time","CA","CB","CP","CI","X_A","Y_P","S_P","purity","production_rate","reactor"
31,0.117146384845773,0.317146384845773,0.792916842991063,0.0899367721631632,0.882853615154227,0.792916842991063,0.898129461648541,0.898129461648541,2.37875052897319,"CSTR"
31.5,0.117145943711661,0.317145943711661,0.792917239186607,0.0899368171017323,0.882854056288339,0.792917239186607,0.898129461648542,0.898129461648542,2.37875171755982,"CSTR"
32,0.117145578603311,0.317145578603311,0.792917567101173,0.0899368542955161,0.882854421396689,0.792917567101173,0.898129461648542,0.898129461648542,2.37875270130352,"CSTR"
32.5,0.117145276418232,0.317145276418232,0.792917838502495,0.0899368850792724,0.882854723581768,0.792917838502495,0.898129461648542,0.898129461648542,2.37875351550749,"CSTR"
33,0.11714502631208,0.31714502631208,0.792918063130199,0.0899369105577205,0.88285497368792,0.792918063130199,0.898129461648543,0.898129461648543,2.3787541893906,"CSTR"
33.5,0.117144819309471,0.317144819309471,0.792918249045341,0.0899369316451875,0.882855180690529,0.792918249045341,0.898129461648543,0.898129461648543,2.37875474713602,"CSTR"
34,0.117144647981869,0.317144647981869,0.792918402919708,0.0899369490984224,0.882855352018131,0.792918402919708,0.898129461648543,0.898129461648543,2.37875520875912,"CSTR"
34.5,0.117144506180993,0.317144506180993,0.792918530275253,0.0899369635437539,0.882855493819007,0.792918530275253,0.898129461648543,0.898129461648543,2.37875559082576,"CSTR"
35,0.117144388818171,0.317144388818171,0.792918635682261,0.0899369754995676,0.882855611181829,0.792918635682261,0.898129461648543,0.898129461648543,2.37875590704678,"CSTR"
35.5,0.117144291681724,0.317144291681724,0.792918722923366,0.0899369853949097,0.882855708318276,0.792918722923366,0.898129461648544,0.898129461648544,2.3787561687701,"CSTR"
36,0.117144211285822,0.317144211285821,0.792918795129295,0.0899369935848835,0.882855788714178,0.792918795129295,0.898129461648544,0.898129461648544,2.37875638538788,"CSTR"
36.5,0.117144144745385,0.317144144745385,0.792918854891221,0.0899370003633935,0.882855855254615,0.792918854891221,0.898129461648544,0.898129461648544,2.37875656467366,"CSTR"
37,0.117144089672554,0.317144089672554,0.792918904353754,0.0899370059736924,0.882855910327446,0.792918904353754,0.898129461648544,0.898129461648544,2.37875671306126,"CSTR"
37.5,0.117144044090995,0.317144044090995,0.792918945291895,0.0899370106171103,0.882855955909005,0.792918945291895,0.898129461648544,0.898129461648544,2.37875683587568,"CSTR"
38,0.117144006364977,0.317144006364977,0.792918979174743,0.08993701446028,0.882855993635023,0.792918979174743,0.898129461648544,0.898129461648544,2.37875693752423,"CSTR"
38.5,0.117143975140672,0.317143975140672,0.792919007218211,0.0899370176411167,0.882856024859328,0.792919007218211,0.898129461648544,0.898129461648544,2.37875702165463,"CSTR"
39,0.117143949297574,0.317143949297574,0.792919030428659,0.089937020273767,0.882856050702426,0.792919030428659,0.898129461648544,0.898129461648544,2.37875709128598,"CSTR"
39.5,0.117143927908282,0.317143927908282,0.792919049639012,0.0899370224527057,0.882856072091718,0.792919049639012,0.898129461648544,0.898129461648544,2.37875714891704,"CSTR"
40,0.117143910205226,0.317143910205226,0.792919065538648,0.0899370242561255,0.882856089794774,0.792919065538648,0.898129461648544,0.898129461648544,2.37875719661594,"CSTR"
